iter	Passed	Remaining
535	8946	2737
536	8962	2720
537	8978	2703
538	8993	2686
539	9007	2669
540	9022	2651
541	9037	2634
542	9051	2617
543	9066	2600
544	9081	2582
545	9096	2565
546	9111	2548
547	9127	2531
548	9144	2515
549	9162	2498
550	9180	2482
551	9197	2466
552	9214	2449
553	9232	2433
554	9248	2416
555	9265	2399
556	9284	2383
557	9304	2367
558	9322	2351
559	9338	2334
560	9355	2318
561	9373	2301
562	9389	2284
563	9407	2268
564	9425	2251
565	9443	2235
566	9461	2219
567	9479	2203
568	9497	2186
569	9514	2170
570	9531	2153
571	9547	2136
572	9565	2120
573	9582	2103
574	9601	2087
575	9619	2070
576	9637	2054
577	9655	2038
578	9672	2021
579	9691	2005
580	9708	1988
581	9726	1971
582	9745	1955
583	9763	1939
584	9781	1922
585	9799	1906
586	9816	1889
587	9834	1873
588	9850	1856
589	9866	1839
590	9882	1822
591	9900	1806
592	9918	1789
593	9935	1772
594	9953	1756
595	9970	1739
596	9988	1723
597	10005	1706
598	10022	1689
599	10038	1673
600	10056	1656
601	10073	1639
602	10089	1622
603	10106	1606
604	10122	1589
605	10139	1572
606	10156	1556
607	10174	1539
608	10192	1523
609	10210	1506
610	10227	1489
611	10244	1473
612	10261	1456
613	10278	1439
614	10295	1422
615	10312	1406
616	10329	1389
617	10347	1372
618	10365	1356
619	10384	1339
620	10402	1323
621	10419	1306
622	10437	1289
623	10453	1273
624	10470	1256
625	10488	1239
626	10506	1223
627	10525	1206
628	10543	1190
629	10561	1173
630	10579	1156
631	10595	1140
632	10613	1123
633	10631	1106
634	10648	1089
635	10666	1073
636	10685	1056
637	10704	1040
638	10721	1023
639	10737	1006
640	10753	989
641	10771	973
642	10787	956
643	10806	939
644	10825	923
645	10843	906
646	10861	889
647	10878	873
648	10895	856
649	10913	839
650	10931	822
651	10948	806
652	10965	789
653	10984	772
654	11002	755
655	11020	739
656	11036	722
657	11053	705
658	11071	688
659	11088	672
660	11106	655
661	11124	638
662	11143	621
663	11160	605
664	11178	588
665	11195	571
666	11214	554
667	11232	538
668	11249	521
669	11269	504
670	11300	488
671	11336	472
672	11372	456
673	11408	440
674	11444	423
675	11470	407
676	11491	390
677	11511	373
678	11527	356
679	11544	339
680	11560	322
681	11576	305
682	11591	288
683	11606	271
684	11622	254
685	11637	237
686	11653	220
687	11668	203
688	11683	186
689	11697	169
690	11712	152
691	11726	135
692	11743	118
693	11758	101
694	11773	84
695	11787	67
696	11802	50
697	11817	33
698	11832	16
699	11847	0
